机构名称,经度,纬度,县市区,地址,建筑面积
大娜助餐点,121.45441541730196,37.470038383730525,莱州市,文昌北路 路西,40.0
鑫禾助餐点,121.45441541730196,37.470038383730525,莱州市,北苑路,80.0
泉宏助餐点,121.45441541730196,37.470038383730525,莱州市,石坊路路北,45.0
郑记农家海鲜助餐点,119.95282930649394,37.20311178149131,莱州市,汇泉B区路北,100.0
川香鱼馆助餐点,119.93593128154576,37.19533004165537,莱州市,光州西街720号,50.0
鹅公鹅婆助餐点,119.95552098912404,37.20294348727312,莱州市,汇泉B区路南,35.0
鼓楼社区助餐点,118.76201495127098,32.09726033310457,莱州市,文昌路街道府前街,1000.0
盛世桃源助餐点,120.86776593927888,23.227315460636227,莱州市,文昌路街道文化东路225号,2000.0
惠家餐饮中央厨房,120.49253170604143,37.64760746987775,莱州市,文峰路街道,100.0
金晖社区市民食堂,121.37602325985436,37.48380158951328,招远市,金街18号,800.0
阳光社区市民食堂,121.37602325985436,37.48380158951328,海阳市,海阳市方圆街道阳光社区,600.0
北山社区市民食堂,121.37602325985436,37.48380158951328,海阳市,海阳市东村街道北山社区,153.0
金东市民社区食堂,120.43880028060651,37.3646114132633,开发区,福莱山街道金东社区,160.0
万科城市民社区食堂,121.19095768241908,37.577986301109554,开发区,古现街道和万家社区,370.0
中建悦海市民社区食堂,120.43880028060651,37.3646114132633,开发区,八角街道中建悦海社区,156.0
海韵市民社区食堂,121.1229824553263,37.640151430441016,开发区,八角街道海韵社区,550.0
恒祥市民社区食堂,120.43880028060651,37.3646114132633,开发区,大季家街道恒祥社区,152.0
蜜橙社区食堂,120.39942036366013,37.389996084262734,开发区,福莱山街道福星社区,400.0
金光社区食堂,120.39942036366013,37.389996084262734,开发区,福莱山街道金光社区,320.0
磁山颐生苑社区食堂,121.08367314519296,37.558800288414425,开发区,古现街道磁山社区,210.0
容大社区食堂,120.39942036366013,37.389996084262734,高新区,高新区容大东海岸1-107商铺,398.87
铭仕城社区食堂,120.39942036366013,37.389996084262734,高新区,高新区铭仕城2-202商铺,421.0
中海社区食堂,120.39942036366013,37.389996084262734,高新区,高新区中海国际77号楼107/108/109/110商铺,512.27
市民社区食堂,120.43880028060651,37.3646114132633,长岛,长岛荻沟闻涛花园,270.0
