城市,经度,纬度,经度_y,纬度_y,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,NO2,CO,O3,年,月
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年9月,76,48~103,良,34,80,11.0,43.0,0.75,118.0,2018,9
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年10月,83,55~137,良,43,108,12.0,57.0,0.735,102.0,2018,10
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年11月,90,0~176,良,66,114,15.0,59.0,1.107,63.0,2018,11
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年12月,105,0~260,轻度污染,73,137,24.0,59.0,1.158,41.0,2018,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年1月,132,61~328,轻度污染,95,168,29.0,67.0,1.297,48.0,2019,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年2月,125,53~207,轻度污染,92,142,20.0,53.0,1.111,76.0,2019,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年3月,92,52~182,良,51,122,13.0,50.0,0.623,108.0,2019,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年4月,92,42~139,良,54,119,15.0,45.0,0.777,121.0,2019,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年5月,102,57~159,轻度污染,36,97,13.0,34.0,0.632,154.0,2019,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年6月,143,59~198,轻度污染,36,84,12.0,28.0,0.63,206.0,2019,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年7月,120,66~178,轻度污染,36,67,9.0,29.0,0.706,180.0,2019,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2019年8月,75,29~132,良,26,53,8.0,33.0,0.732,125.0,2019,8
