name1,name2,value
策划经理,静安区,8283.783783783783
策划经理,崇明区,0.0
策划经理,金山区,5625.0
策划经理,奉贤区,6050.0
广告制作,上海,6712.863070539419
广告制作,青浦区,4575.0
广告制作,杨浦区,6783.333333333333
广告制作,徐汇区,5947.222222222223
广告制作,浦东新区,6451.515151515152
广告制作,长宁区,5703.125
广告制作,黄浦区,8056.25
广告制作,普陀区,6862.5
广告制作,闵行区,6530.434782608696
广告制作,松江区,5763.1578947368425
广告制作,虹口区,5200.0
广告制作,宝山区,6590.909090909091
广告制作,嘉定区,6125.0
广告制作,静安区,7459.375
广告制作,崇明区,0.0
广告制作,金山区,0.0
广告制作,奉贤区,7000.0
广告审核,上海,6415.384615384615
广告审核,青浦区,0.0
广告审核,杨浦区,0.0
广告审核,徐汇区,8000.0
广告审核,浦东新区,7762.5
广告审核,长宁区,4625.0
广告审核,黄浦区,16800.0
广告审核,普陀区,0.0
广告审核,闵行区,8000.0
广告审核,松江区,0.0
广告审核,虹口区,0.0
广告审核,宝山区,6000.0
广告审核,嘉定区,8000.0
广告审核,静安区,6333.333333333333
广告审核,崇明区,0.0
广告审核,金山区,0.0
广告审核,奉贤区,4000.0
平面设计,上海,7322.565320665083
平面设计,青浦区,7857.142857142857
平面设计,杨浦区,6948.275862068966
平面设计,徐汇区,6921.428571428572
平面设计,浦东新区,7478.16091954023
平面设计,长宁区,7145.238095238095
平面设计,黄浦区,6857.142857142857
平面设计,普陀区,6928.301886792453
平面设计,闵行区,6717.9775280898875
平面设计,松江区,6054.166666666667
平面设计,虹口区,6037.5
平面设计,宝山区,6714.285714285715
平面设计,嘉定区,6482.758620689655
平面设计,静安区,7445.901639344263
平面设计,崇明区,4000.0
平面设计,金山区,4000.0
平面设计,奉贤区,8000.0
美容师,上海,6918.30985915493
美容师,青浦区,7800.0
美容师,杨浦区,7571.428571428572
美容师,徐汇区,7076.190476190476
美容师,浦东新区,6872.093023255814
美容师,长宁区,7500.0
美容师,黄浦区,7250.0
美容师,普陀区,6750.0
美容师,闵行区,6709.677419354839
